Id,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Bsmt Qual,Total Bsmt SF,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplace Qu,Garage Finish,Garage Cars,Garage Area,Garage Total Value,Overall Total Value,Exter Total Value,Total Flr SF,Fireplace Total Value,Total Bath,Kitchen Total Value,Land Contour_Bnk,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_Corner,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition 1_Artery,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,Condition 2_Artery,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Fin,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Garage Type_2Types,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD ,SalePrice
109,-0.05441467122034077,0.1578266947276354,1.0006807901707584,1.2174752053082085,1.077646242560976,-0.533467852851714,-0.7699934105791674,-1.1584413186625915,-0.008546592951716812,0.817033614368599,0.7637547323434811,-0.26839195495494056,-0.9701168665954532,0.31877303575451615,0.32831457069817793,0.0340079628182443,0.35951385379087547,1.4304681416000609,0.7743256762518594,0.0006955720586129925,-0.9829607902337999,0.6288794499441838,0.6971607504848797,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130500
544,0.6773863744438676,0.8218501249244621,0.6169356492974674,0.23772643042728134,1.077646242560976,0.5921336724468437,-0.31016738436852015,-0.6425249746753461,1.3468336258478066,0.817033614368599,0.7637547323434811,1.0486277319339234,0.6987392852645076,0.31877303575451615,0.32831457069817793,0.43605662178622384,0.35951385379087547,0.21533021021724624,0.7743256762518594,1.3599285766564573,0.7021984975058136,1.7146113377302432,0.6971607504848797,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220000
153,-0.7862157168845492,-0.6058002499987153,1.0966170753890812,-0.5860113930394856,-0.6885643987206242,-0.533467852851714,0.0420397846438905,-0.24735500906809424,-0.8980807334391179,-1.027219516731658,0.7637547323434811,-0.9269017983993725,-0.9701168665954532,-0.7986798228343966,-1.0062748847670144,-1.0620532622254142,-0.4255247434854064,0.21533021021724624,0.7743256762518594,-0.8913671463555243,-0.9829607902337999,-0.4568524378418756,0.6971607504848797,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,109000
318,-0.7862157168845492,1.1538618400228755,1.0966170753890812,-0.5860113930394856,-0.6885643987206242,0.5921336724468437,-1.604039553865501,-1.1063008370894125,-0.0823231211911932,0.817033614368599,-0.7712216082183482,0.3901178884894914,-0.9701168665954532,1.436225894343429,0.32831457069817793,-0.3249640541174517,0.7520331524290164,-0.9998077211655685,-0.7034656342606412,-0.07329067235962114,-0.9829607902337999,0.6288794499441838,-0.839155206556074,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,174000
255,-0.05441467122034077,-2.365462340020306,0.4250630788608218,-0.5860113930394856,-0.6885643987206242,-1.659069378150272,-0.8898416833681126,-0.8675523162016978,-0.08021522038435103,0.817033614368599,-0.7712216082183482,-0.26839195495494056,-0.9701168665954532,-0.7986798228343966,0.32831457069817793,0.07708460485052783,-0.03300544484726547,1.4304681416000609,-0.7034656342606412,-0.0711767796619573,-0.9829607902337999,-0.4568524378418756,-0.839155206556074,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,138500
138,-0.05441467122034077,-0.17418502037077796,0.8567763623432743,-0.5860113930394856,1.077646242560976,-0.533467852851714,1.1671460189890912,2.0331050007904214,0.8535848370467359,0.817033614368599,0.7637547323434811,-0.26839195495494056,1.255024669217828,1.436225894343429,0.32831457069817793,0.5269961994099335,0.7520331524290164,0.21533021021724624,0.7743256762518594,0.8652776854031204,1.123488319440717,0.6288794499441838,0.6971607504848797,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190000
2827,-0.05441467122034077,1.1206606685130343,1.0486489327799198,-0.07429547240103947,-0.6885643987206242,0.5921336724468437,-1.2053606056083972,-0.2061914709840055,-0.8664622213364852,0.817033614368599,-0.7712216082183482,-0.9269017983993725,-0.9701168665954532,1.436225894343429,0.32831457069817793,0.273322640775375,0.7520331524290164,-0.3922387554741611,-0.7034656342606412,-0.8596587558905667,-0.9829607902337999,0.6288794499441838,-0.839155206556074,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,140000
145,-0.7862157168845492,-0.4065932209396673,-1.205853769850665,0.5372674571424693,-0.6885643987206242,-0.533467852851714,0.3624504731204585,0.11213989019961404,-0.621945727742792,-1.027219516731658,-0.7712216082183482,-0.26839195495494056,-0.9701168665954532,0.31877303575451615,0.32831457069817793,0.3020404021302307,0.35951385379087547,-0.9998077211655685,-0.7034656342606412,-0.6144472029615622,-0.9829607902337999,-0.4568524378418756,-0.839155206556074,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,142000
1942,-0.7862157168845492,-0.6390014215085567,-1.5416307681147947,-0.5860113930394856,-0.6885643987206242,-0.533467852851714,-0.283262670068961,-0.6123383800803477,-1.1784315407491281,-1.027219516731658,-0.7712216082183482,-0.26839195495494056,-0.9701168665954532,-0.7986798228343966,-1.0062748847670144,-0.22923818293459947,-0.4255247434854064,-0.9998077211655685,-0.7034656342606412,-1.172514875144814,-0.9829607902337999,-1.542584325627935,-0.839155206556074,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,112500
1956,-0.7862157168845492,-0.07458150584125395,-0.7261723437590513,0.6121527138212662,-0.6885643987206242,0.5921336724468437,0.0004597716354809123,-0.29400701889672815,1.258301791960435,-1.027219516731658,-2.3061979487801776,1.7071375753783553,0.6987392852645076,-0.7986798228343966,0.32831457069817793,0.1728104760333801,-0.03300544484726547,-0.9998077211655685,-0.7034656342606412,1.2711450833545763,1.123488319440717,1.7146113377302432,-2.3754711635970276,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135000
