Id,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Total Bsmt SF,Heating QC,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Finish,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition 1_Artery,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,Condition 2_Artery,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAn,Condition 2_RRNn,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,SalePrice
109,-0.05056071332349312,0.1492803093614144,0.9948484210729077,1.3108503806386564,1.1048709683240838,0.5228107464954199,-0.6831193306998662,-0.6042668463162992,1.1709452952926585,0.24699337292217177,-0.8469032361130737,0.8883149252824465,-1.1573864121359212,0.035887930266405146,0.8364496810101251,0.7755163370002661,-0.2363093934171131,-0.9195868709228314,-0.9612502896350565,0.3281650616569469,0.349953109424795,0.05427609215361007,-0.7830379897865067,0.002612007961816741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,130500
544,0.7028494764199883,0.8180087516940152,0.6109171639605837,0.2788857203720586,1.1048709683240838,-0.9151839233783932,0.6307952968590251,-0.6042668463162992,1.1709452952926585,0.49341273885469045,-0.3482973318627086,0.8883149252824465,-0.6241893312582905,1.4526345176714213,0.8364496810101251,0.7755163370002661,1.133073245358977,0.6780554057861491,0.7148603739892083,0.3281650616569469,0.349953109424795,0.46560436897761476,-0.7830379897865067,0.5061972396523546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,220000
153,-0.8039709030669746,-0.6197573993210765,1.0908312353509888,-0.5887533570495396,-0.6883127935519869,0.5228107464954199,-0.6831193306998662,-0.6042668463162992,1.1709452952926585,0.7161379349860054,0.033613573520549715,-1.2203153393705024,-0.21578305654350952,-0.8939208720429522,-1.0168603965221126,0.7755163370002661,-0.9210007128051582,-0.9195868709228314,-0.9612502896350565,-0.7969722925954422,-1.0058652230895542,-1.0670831387118314,-0.7830379897865067,0.1369014030792935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,109000
318,-0.8039709030669746,1.1523729728603156,1.0908312353509888,-0.5887533570495396,-0.6883127935519869,-0.9151839233783932,0.6307952968590251,-0.6042668463162992,-1.2370040835621259,-1.0159058774819865,-1.7512894773331507,-0.1660002070440279,-1.1034994731110541,-0.041228913527024964,0.8364496810101251,-0.777807374923457,0.4483819259709319,-0.9195868709228314,-0.9612502896350565,1.453302415909336,0.349953109424795,-0.3129812978678227,0.10102138671780458,-0.7359796651843055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,174000
255,-0.05056071332349312,-2.3918877715024687,0.41895153540442176,-0.5887533570495396,-0.6883127935519869,-0.9151839233783932,-1.9970339582587575,-0.6042668463162992,-1.2370040835621259,-1.0159058774819865,-0.976859030305988,-1.2203153393705024,-0.856754015470874,-0.03902557513292696,0.8364496810101251,-0.777807374923457,-0.2363093934171131,-0.9195868709228314,-0.9612502896350565,-0.7969722925954422,0.349953109424795,0.098346978956182,-0.7830379897865067,0.2544046238070857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,138500
138,-0.05056071332349312,-0.18508391180488604,0.8508741996557863,-0.5887533570495396,1.1048709683240838,0.5228107464954199,-0.6831193306998662,-0.6042668463162992,0.6893554195217015,-0.4306598833922545,1.2536067434948472,0.8883149252824465,2.141061487123039,0.9370533334524884,0.8364496810101251,0.7755163370002661,-0.2363093934171131,0.6780554057861491,1.27356392853063,1.453302415909336,0.349953109424795,0.5586429077830444,-0.7830379897865067,-0.7359796651843055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,190000
2827,-0.05056071332349312,1.1189365507436855,1.0428398282119482,-0.04976544531794072,-0.6883127935519869,-0.9151839233783932,0.6307952968590251,2.297926224303187,1.1709452952926585,0.28016521064385697,-1.3189875497118235,-0.1660002070440279,-0.17324073626071984,-0.8608707961314821,0.8364496810101251,-0.777807374923457,-0.9210007128051582,-0.9195868709228314,-0.9612502896350565,1.453302415909336,0.349953109424795,0.29911435216789856,-0.7830379897865067,0.002612007961816741,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,140000
145,-0.8039709030669746,-0.41913886662129635,-1.212756307322955,0.5943908394344579,-0.6883127935519869,0.5228107464954199,-0.6831193306998662,-0.6042668463162992,-0.2738243320202122,1.3535111026383853,0.38104641105670833,-2.2746304716969767,0.15575320725952038,-0.6052835424161138,-1.0168603965221126,-0.777807374923457,-0.2363093934171131,-0.9195868709228314,-0.9612502896350565,0.3281650616569469,0.349953109424795,0.3284949433696132,-0.7830379897865067,-0.7359796651843055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,142000
1956,-0.8039709030669746,-0.08477464545499591,-0.7328422359325502,0.6732671192000578,-0.6883127935519869,-0.9151839233783932,0.6307952968590251,1.3305285340966917,-0.2738243320202122,0.5242151595962553,-0.011473130587196059,-1.2203153393705024,-0.2639976861973378,1.360094305119305,-1.0168603965221126,-2.33113108684718,1.817764564747022,2.2756976824951294,0.7148603739892083,-0.7969722925954422,0.349953109424795,0.1962822829618974,2.1785609215029362,-0.7359796651843055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,135000
1044,-0.05056071332349312,-0.017901801221735823,-0.6368594216544692,0.9361880517520572,-0.6883127935519869,0.5228107464954199,-0.6831193306998662,-0.6042668463162992,0.6893554195217015,-0.0989415061754025,-1.4887257298821606,-1.2203153393705024,-1.8437358460315947,-1.0481545596298123,-1.0168603965221126,-0.777807374923457,-1.6056920321932031,-0.9195868709228314,-0.9612502896350565,-0.7969722925954422,-1.0058652230895542,-0.9789413651066874,-0.7830379897865067,-0.7359796651843055,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,85400
