Id,MS Zoning,Street,Land Contour,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Bsmt Qual,Heating,Central Air,1st Flr SF,Full Bath,Kitchen Qual,TotRms AbvGrd,Garage Type,Garage Finish,Garage Cars,SalePrice,Garage Total Value,Overall Total Value,Exter Total Value,Total Flr SF,Fireplace Total Value,Total Bath,Has Basement,Has Garage,Has Porch,Has Pool,Was Remodeled,Is New
109,RL,Pave,Lvl,Sawyer,RRAe,Norm,1Fam,2Story,1976,2005,Gable,HdBoard,Plywood,BrkFace,3,GasA,1,6.587550014824796,2,4,6,Attchd,2,2.0,130500,10.0,14,7,7.299797366758161,0,3.0,1,1,1,0,1,0
544,RL,Pave,Lvl,SawyerW,Norm,Norm,1Fam,2Story,1996,1997,Gable,VinylSd,VinylSd,BrkFace,4,GasA,1,6.81783057145415,2,4,8,Attchd,2,2.0,220000,10.0,12,7,7.660585461703256,3,4.0,1,1,1,0,1,0
153,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1953,2007,Gable,VinylSd,VinylSd,None,3,GasA,1,6.964135612418245,1,4,5,Detchd,1,1.0,109000,8.0,12,7,6.964135612418245,0,2.0,1,1,1,0,1,0
318,RL,Pave,Lvl,Timber,Norm,Norm,1Fam,2Story,2006,2007,Gable,VinylSd,VinylSd,None,4,GasA,1,6.61338421837956,2,3,7,BuiltIn,3,2.0,174000,11.0,10,6,7.275864600546533,0,3.0,1,1,0,0,1,1
255,RL,Pave,Lvl,SawyerW,Norm,Norm,1Fam,1.5Fin,1900,1993,Gable,Wd Sdng,Plywood,None,2,GasA,1,6.723832440821209,2,3,6,Detchd,1,2.0,138500,9.0,14,6,7.27655640271871,0,2.0,1,1,1,0,1,0
138,RL,Pave,Lvl,NAmes,PosA,Norm,1Fam,1Story,1966,2002,Gable,BrkFace,Plywood,None,3,GasA,1,7.543802867501509,2,4,6,Attchd,3,2.0,190000,11.0,12,7,7.543802867501509,4,3.0,1,1,0,0,1,0
2827,RM,Pave,Lvl,Edwards,Norm,Norm,TwnhsE,SFoyer,2005,2006,Gable,VinylSd,VinylSd,BrkFace,4,GasA,1,6.9782137426306985,2,3,5,Basment,3,2.0,140000,11.0,11,6,6.9782137426306985,0,3.0,1,1,1,0,1,1
145,RL,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,1959,1959,Hip,Plywood,Plywood,BrkFace,3,GasA,1,7.080867896690782,1,3,6,Attchd,2,2.0,142000,10.0,10,6,7.080867896690782,0,2.0,1,1,0,0,0,0
1942,RL,Pave,Lvl,OldTown,Artery,Norm,1Fam,1Story,1952,1952,Gable,Wd Sdng,Wd Sdng,None,3,GasA,1,6.829793737512425,1,3,6,Detchd,1,1.0,112500,8.0,10,6,6.829793737512425,0,1.0,1,1,1,0,0,0
1956,RL,Pave,HLS,NAmes,Norm,Norm,1Fam,2Story,1969,1969,Gable,Plywood,Plywood,BrkFace,4,GasA,1,6.947937068614969,1,2,9,Attchd,1,2.0,135000,9.0,10,6,7.640603826393634,6,4.0,1,1,0,0,0,0
