MS Zoning,Street,Alley,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Sale Type,SalePrice
RL,Pave,NA,Sawyer,RRAe,1Fam,2Story,6,1976,2005,Gable,HdBoard,Plywood,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,192.0,725.0,GasA,Ex,Y,SBrkr,725,754,1479,2,3,Gd,6,Typ,0,NA,Attchd,RFn,2.0,475.0,TA,TA,Y,0,44,WD ,130500
RL,Pave,NA,SawyerW,Norm,1Fam,2Story,7,1996,1997,Gable,VinylSd,VinylSd,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,276.0,913.0,GasA,Ex,Y,SBrkr,913,1209,2122,2,4,Gd,8,Typ,1,TA,Attchd,RFn,2.0,559.0,TA,TA,Y,0,74,WD ,220000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,5,1953,2007,Gable,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,326.0,1057.0,GasA,TA,Y,SBrkr,1057,0,1057,1,3,Gd,5,Typ,0,NA,Detchd,Unf,1.0,246.0,TA,TA,Y,0,52,WD ,109000
RL,Pave,NA,Timber,Norm,1Fam,2Story,5,2006,2007,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744,700,1444,2,3,TA,7,Typ,0,NA,BuiltIn,Fin,2.0,400.0,TA,TA,Y,100,0,WD ,174000
RL,Pave,NA,SawyerW,Norm,1Fam,1.5Fin,6,1900,1993,Gable,Wd Sdng,Plywood,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831,614,1445,2,3,TA,6,Typ,0,NA,Detchd,Unf,2.0,484.0,TA,TA,N,0,59,WD ,138500
RL,Pave,NA,NAmes,PosA,1Fam,1Story,6,1966,2002,Gable,BrkFace,Plywood,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,557.0,1517.0,GasA,Ex,Y,SBrkr,1888,0,1888,2,2,Gd,6,Mod,1,Gd,Attchd,Fin,2.0,578.0,TA,TA,Y,0,0,WD ,190000
RM,Pave,NA,Edwards,Norm,TwnhsE,SFoyer,6,2005,2006,Gable,VinylSd,VinylSd,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072,0,1072,2,2,TA,5,Typ,0,NA,Basment,Fin,2.0,525.0,TA,TA,Y,0,44,New,140000
RL,Pave,NA,NAmes,Norm,1Fam,1Story,5,1959,1959,Hip,Plywood,Plywood,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,188.0,1188.0,GasA,Fa,Y,SBrkr,1188,0,1188,1,3,TA,6,Typ,0,NA,Attchd,RFn,2.0,531.0,TA,TA,Y,0,0,COD,142000
RL,Pave,NA,OldTown,Artery,1Fam,1Story,5,1952,1952,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,632.0,924.0,GasA,TA,Y,SBrkr,924,0,924,1,2,TA,6,Typ,0,NA,Detchd,Unf,1.0,420.0,TA,TA,Y,0,324,WD ,112500
RL,Pave,NA,NAmes,Norm,1Fam,2Story,5,1969,1969,Gable,Plywood,Plywood,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040,1040,2080,1,5,Fa,9,Typ,2,TA,Attchd,Unf,2.0,504.0,TA,TA,Y,335,0,WD ,135000
