Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,MS Zoning_A (agr),MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Street_Grvl,Street_Pave,Alley_Grvl,Alley_Pave,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition 1_Artery,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Fin,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Exterior 1st_AsbShng,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_AsbShng,Exterior 2nd_AsphShn,Exterior 2nd_Brk Cmn,Exterior 2nd_BrkFace,Exterior 2nd_CBlock,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_ImStucc,Exterior 2nd_MetalSd,Exterior 2nd_Plywood,Exterior 2nd_Stone,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Garage Type_2Types,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Paved Drive_N,Paved Drive_P,Paved Drive_Y,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_WD ,SalePrice
-0.07864410289348696,0.14222744308117807,0.9894788069790523,1.0923289369928373,1.0102726013965506,-0.23024266611095967,-0.5435940520335439,0.12362468173180864,-0.5828161237615775,1.14602955023799,0.19717760806183254,-0.8438736408093462,-0.7391578798616578,0.8730787164479378,0.2717020234168229,-1.108837545943735,0.9978937064980367,-0.040633687751969454,0.7697788728052137,0.1893826733048602,0.7253991251164267,-0.27944126600100755,0.22978181087032773,-0.9257012731810796,-0.9761413325783859,0.30813687800185585,0.2931123312711481,0.007215947981191958,0.27317071418399874,0.2649230732074562,-0.7301209610710309,-0.05330061440404812,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,130500
0.6226561363871311,0.80512594497755,0.6090901500845974,0.1914910346062622,1.0102726013965506,-0.23024266611095967,0.5657705257980968,0.12362468173180864,-0.5828161237615775,1.14602955023799,0.4227337252837599,-0.6550732544281878,-0.32119276975739497,0.8730787164479378,0.2717020234168229,-0.6345096172276932,2.0670548963631346,1.2445288652250557,0.7697788728052137,1.3994258600595888,0.7253991251164267,1.0027377867239724,0.22978181087032773,0.6408113599001038,0.6844054242241598,0.30813687800185585,0.2931123312711481,0.3959565302174924,0.27317071418399874,0.2649230732074562,-0.7301209610710309,0.3962657741197462,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,220000
-0.7799443421741051,-0.6201058340996496,1.0845759712026661,-0.565901341922578,-0.6909335607252274,2.4528693122616403,-0.5435940520335439,0.12362468173180864,-0.5828161237615775,1.14602955023799,0.6266017543112712,-0.5426920720584507,-0.001049281166895787,-1.2018742933257813,0.2717020234168229,-0.2711946079983846,-0.7738591224212686,-0.8840840724429563,-1.0512320477524484,0.1893826733048602,0.7253991251164267,-0.9205307923634976,0.22978181087032773,-0.9257012731810796,-0.9761413325783859,-0.8045193487266762,-1.0137863457660792,-1.052564925020151,0.27317071418399874,0.2649230732074562,-0.7301209610710309,0.0665837558689637,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,109000
-0.7799443421741051,1.136575195925736,1.0845759712026661,-0.565901341922578,-0.6909335607252274,-0.23024266611095967,0.5657705257980968,0.12362468173180864,-0.5828161237615775,-1.2068299167671326,-0.9587974927005453,-0.4123299005095556,-1.497275446593326,-0.16439778843892172,0.2717020234168229,-1.0609001488926455,0.8710042466019591,-0.11058810354387595,0.7697788728052137,0.1893826733048602,-0.777422698735887,0.3616482603614824,0.22978181087032773,-0.9257012731810796,-0.9761413325783859,1.420793104730388,0.2931123312711481,-0.33987385758693345,0.27317071418399874,0.2649230732074562,0.04797971346076876,-0.7126646509056132,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,174000
-0.07864410289348696,-2.376786864125035,0.41889582163737005,-0.565901341922578,-0.6909335607252274,-0.23024266611095967,-1.6529586298651848,1.8722744902279431,-0.5828161237615775,-1.2068299167671326,-0.9587974927005453,0.2439762045297094,-0.8480955947292582,-1.2018742933257813,0.2717020234168229,-0.841397330816605,0.6689210326933911,-0.10858940594982147,0.7697788728052137,0.1893826733048602,-0.777422698735887,-0.27944126600100755,0.22978181087032773,-0.9257012731810796,-0.9761413325783859,-0.8045193487266762,0.2931123312711481,0.048866724649367005,0.27317071418399874,0.2649230732074562,-0.7301209610710309,0.17148257985784904,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,138500
-0.07864410289348696,-0.18922180786700787,0.8468330606436317,-0.565901341922578,1.0102726013965506,-0.23024266611095967,-0.5435940520335439,0.12362468173180864,-0.5828161237615775,0.6754576568369655,-0.42310171429846777,-0.02349100951026502,1.0216313073860877,0.8730787164479378,0.2717020234168229,1.8254357577624172,-0.7738591224212686,0.7768336282163093,0.7697788728052137,-1.0206605134498685,0.7253991251164267,-0.27944126600100755,-4.161048879456149,0.6408113599001038,1.2379210098250086,1.420793104730388,0.2931123312711481,0.4838859476280842,0.27317071418399874,0.2649230732074562,-0.7301209610710309,-0.7126646509056132,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,190000
-0.07864410289348696,1.1034302708309172,1.0370273890908592,-0.09540001710920755,-0.6909335607252274,-0.23024266611095967,0.5657705257980968,0.12362468173180864,2.1970812479477146,1.14602955023799,0.22754093153401508,-1.275417381109137,-1.1348908032582472,-0.16439778843892172,0.2717020234168229,-0.23334929453699826,-0.7738591224212686,-0.8541036085321393,0.7697788728052137,-1.0206605134498685,-0.777422698735887,-0.9205307923634976,0.22978181087032773,-0.9257012731810796,-0.9761413325783859,1.420793104730388,0.2931123312711481,0.23860915169327557,0.27317071418399874,0.2649230732074562,-0.7301209610710309,-0.05330061440404812,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,140000
-0.7799443421741051,-0.421236283530738,-1.1977559701640632,0.4669064442531132,-0.6909335607252274,-0.23024266611095967,-0.5435940520335439,0.12362468173180864,-0.5828161237615775,-0.2656861299650836,1.2100113267410644,-0.8528641353989252,0.2901923647036278,-2.239350798212641,0.2717020234168229,0.05932112956438922,-0.7738591224212686,-0.6222546876218206,-1.0512320477524484,0.1893826733048602,-0.777422698735887,-0.27944126600100755,0.22978181087032773,-0.9257012731810796,-0.9761413325783859,0.30813687800185585,0.2931123312711481,0.2663763361387256,0.27317071418399874,0.2649230732074562,-0.7301209610710309,-0.7126646509056132,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,142000
-0.7799443421741051,-0.6532507591944682,-1.5305960449467113,-0.565901341922578,-0.6909335607252274,-0.23024266611095967,-0.5435940520335439,0.12362468173180864,-0.5828161237615775,-0.2656861299650836,-0.32550531742359534,0.1450807640443407,-0.2967373643789541,-1.2018742933257813,0.2717020234168229,-0.6067563873560099,-0.7738591224212686,-1.149910852452201,-1.0512320477524484,-1.0206605134498685,-0.777422698735887,-0.27944126600100755,0.22978181087032773,-0.9257012731810796,-0.9761413325783859,-0.8045193487266762,-1.0137863457660792,-0.2473165761021,0.27317071418399874,0.2649230732074562,-0.7301209610710309,4.142652345151365,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,112500
-0.7799443421741051,-0.08978703258255209,-0.7222701490459946,0.5357602966648259,-0.6909335607252274,-0.23024266611095967,0.5657705257980968,0.12362468173180864,1.2704487907112838,-0.2656861299650836,0.45092823993650083,-0.39884415862518713,-0.03884399856994083,-1.2018742933257813,0.2717020234168229,-0.3140859632546224,1.6699378829846698,1.1605835662747679,-1.0512320477524484,2.6094690468143176,-2.280244522588201,1.6438273130864625,0.22978181087032773,2.207323992981287,0.6844054242241598,-0.8045193487266762,0.2931123312711481,0.14142400613420045,0.27317071418399874,0.2649230732074562,1.8765162986104977,-0.7126646509056132,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,135000
